[4/5/2024, 8:53:52 PM]:[INFO] - [wm] already signed in?,true
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:54:00 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:02 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:02 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:02 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:02 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setLocales
[4/5/2024, 8:54:02 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:54:03 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:32 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:32 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,spellingGetLanguages
[4/5/2024, 8:54:33 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setLocales
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setEditorType
[4/5/2024, 8:54:33 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:54:33 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:54:33 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getKeyboardLayout
[4/5/2024, 8:54:35 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setUrl
[4/5/2024, 8:54:36 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setUrl
[4/5/2024, 8:54:36 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setTabPreviewData
[4/5/2024, 8:54:36 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsLibrary
[4/5/2024, 8:54:36 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,setIsTeamTemplate
[4/5/2024, 8:54:37 PM]:[WARN] - [From web content: 8],[desktop] Unhandled message,getActiveNSScreens
[4/5/2024, 8:54:38 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:47 PM]:[WARN] - [From web content: 2],[desktop] Unhandled message,setWorkspaceProperties
[4/5/2024, 8:54:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,spellingGetLanguages
[4/5/2024, 8:54:47 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:54:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setTheme
[4/5/2024, 8:54:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setLocales
[4/5/2024, 8:54:47 PM]:[WARN] - [From web content: 9],[desktop] Unhandled message,setEditorType
[4/5/2024, 8:54:47 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
[4/5/2024, 8:54:47 PM]:[WARN] - The setWorkspaceName not implemented, workspaceName: ,
